Date,Open,High,Low,Close,Volume
03.10.2005 06:00:00.000 GMT+0900,1.5988,1.6042,1.5979,1.6021,67996
10.10.2005 06:00:00.000 GMT+0900,1.6021,1.6092,1.586,1.6047,765831
17.10.2005 06:00:00.000 GMT+0900,1.6047,1.6096,1.5879,1.5953,1008258
24.10.2005 06:00:00.000 GMT+0900,1.5953,1.6143,1.5915,1.6103,1038553
31.10.2005 07:00:00.000 GMT+0900,1.6103,1.62887,1.601,1.6106,682212.7996
07.11.2005 07:00:00.000 GMT+0900,1.61082,1.61404,1.59273,1.59924,588300.8988
14.11.2005 07:00:00.000 GMT+0900,1.59904,1.6081,1.59241,1.6037,592335.4017
21.11.2005 07:00:00.000 GMT+0900,1.60375,1.60943,1.59053,1.5923,599610.2996
28.11.2005 07:00:00.000 GMT+0900,1.59248,1.60157,1.56244,1.56554,600390.1021
05.12.2005 07:00:00.000 GMT+0900,1.56553,1.57935,1.56122,1.57352,603575.7012
12.12.2005 07:00:00.000 GMT+0900,1.57345,1.61698,1.56995,1.6146,604510.5017
19.12.2005 07:00:00.000 GMT+0900,1.61271,1.63215,1.58365,1.62763,598889.8989
26.12.2005 07:00:00.000 GMT+0900,1.62709,1.63616,1.60607,1.6136,475389.1996
02.01.2006 07:00:00.000 GMT+0900,1.61292,1.62703,1.60902,1.6103,483026.4013
09.01.2006 07:00:00.000 GMT+0900,1.6104,1.61407,1.5972,1.6069,607360.2981
16.01.2006 07:00:00.000 GMT+0900,1.60648,1.62417,1.6011,1.6218,600179.2022
23.01.2006 07:00:00.000 GMT+0900,1.62198,1.63921,1.60926,1.61285,576112.7998
30.01.2006 07:00:00.000 GMT+0900,1.61288,1.61641,1.59937,1.6048,603336.1
06.02.2006 07:00:00.000 GMT+0900,1.60467,1.62452,1.60395,1.61298,600419.1012
13.02.2006 07:00:00.000 GMT+0900,1.61228,1.6184,1.58915,1.61367,604798.3012
20.02.2006 07:00:00.000 GMT+0900,1.61361,1.62022,1.60361,1.6052,603866.1989
27.02.2006 07:00:00.000 GMT+0900,1.60525,1.6172,1.59654,1.6152,602808.5003
06.03.2006 07:00:00.000 GMT+0900,1.61706,1.62996,1.61394,1.62685,603685.0983
13.03.2006 07:00:00.000 GMT+0900,1.62587,1.67771,1.62155,1.67509,600961.1984
20.03.2006 07:00:00.000 GMT+0900,1.67449,1.69938,1.67136,1.6977,603647.2987
27.03.2006 07:00:00.000 GMT+0900,1.69764,1.71123,1.68813,1.6908,603740.2014
03.04.2006 06:00:00.000 GMT+0900,1.69111,1.70465,1.66122,1.66465,601893.0999
10.04.2006 06:00:00.000 GMT+0900,1.66515,1.66756,1.64996,1.66265,599292.3989
17.04.2006 06:00:00.000 GMT+0900,1.66314,1.67321,1.65265,1.65805,602396.5014
24.04.2006 06:00:00.000 GMT+0900,1.65776,1.67104,1.64996,1.66285,586260.1995
01.05.2006 06:00:00.000 GMT+0900,1.66345,1.66526,1.63687,1.64715,599051.6978
08.05.2006 06:00:00.000 GMT+0900,1.64754,1.67207,1.64379,1.67141,600225.3002
15.05.2006 06:00:00.000 GMT+0900,1.67165,1.68808,1.66821,1.68425,601985.9998
22.05.2006 06:00:00.000 GMT+0900,1.68445,1.7114,1.67635,1.68025,595602.5007
29.05.2006 06:00:00.000 GMT+0900,1.68045,1.7236,1.67813,1.71615,603295.5998
05.06.2006 06:00:00.000 GMT+0900,1.71635,1.73458,1.68263,1.68855,605903.4004
12.06.2006 06:00:00.000 GMT+0900,1.6888,1.71283,1.68152,1.71106,602890.1989
19.06.2006 06:00:00.000 GMT+0900,1.71115,1.72099,1.69889,1.70775,601668.3019
26.06.2006 06:00:00.000 GMT+0900,1.70795,1.7246,1.70631,1.7199,586910.7996
03.07.2006 06:00:00.000 GMT+0900,1.71963,1.7256,1.70174,1.70365,571613.8008
10.07.2006 06:00:00.000 GMT+0900,1.70411,1.70642,1.67451,1.67875,596797.1992
17.07.2006 06:00:00.000 GMT+0900,1.67865,1.6876,1.66261,1.68615,596491.3992
24.07.2006 06:00:00.000 GMT+0900,1.68657,1.68884,1.65757,1.66185,597252.0992
31.07.2006 06:00:00.000 GMT+0900,1.66252,1.68616,1.66107,1.68099,585622.3012
